"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDMV"
"USC00040161","ALTURAS, CA US","41.49021","-120.54376","1332.9","1993-05",,"1.89","0.0","52.6","69.3","36.0",,
"USC00046940","PIRU 2 ESE, CA US","34.4061","-118.7569","217.0","1993-05",,"0.02","0.0",,,,,
"USC00042346","DELANO, CA US","35.7683","-119.26","92.0","1993-05",,"0.00","0.0",,,,,
"USC00042467","DONNER MEMORIAL ST PARK, CA US","39.3239","-120.2331","1809.6","1993-05",,"1.56","1.0",,,,,
"USC00046946","PIT RIVER PH 5, CA US","40.9869","-121.9772","444.4","1993-05",,"5.24","0.0",,,,,
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","1993-05",,"1.41","0.0","60.1","71.7","48.5",,
"USC00046944","PIT RIVER POWER HOUSE 1, CA US","41.0","-121.5","877.8","1993-05",,"1.44","0.0",,,,,
"USC00044647","LAGUNA BEACH, CA US","33.5453","-117.7813","13.4","1993-05",,"0.00","0.0",,,,,
"USR0000CJUL","JULIAN CALIFORNIA, CA US","33.0758","-116.5908","1292.4","1993-05",,,,"60.3","72.2","48.4",,
"USC00041018","BOWMAN DAM, CA US","39.4539","-120.6556","1641.3","1993-05",,"5.04","0.0",,,,,
"USR0000CLYO","LYONS VALLEY CALIFORNIA, CA US","39.1258","-123.0736","975.4","1993-05",,,,"52.8","61.1","44.5",,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","1993-05",,"0.02","0.0","77.1","93.3","60.8",,
"USC00043791","HARRISON GULCH RANGER STATION, CA US","40.3636","-122.965","838.2","1993-05",,"6.78","0.0",,,,,
"USR0000CJUN","JUNIPER CREEK CALIFORNIA, CA US","41.3322","-120.4725","1332.6","1993-05",,,,"53.6","66.8","40.3",,
"USC00043551","GRANT GROVE, CA US","36.73751","-118.96197","2005.6","1993-05",,"0.30","0.0","48.8","58.4","39.2",,
"USC00043672","GROVELAND R S, CA US","37.823","-120.0983","958.6","1993-05",,"1.26","0.0",,,,,
"USC00044881","LEE VINING, CA US","37.9567","-119.1194","2071.7","1993-05",,"0.00","0.0",,"67.5",,,
"USS0019L24S","HEAVENLY VALLEY, CA US","38.92","-119.92","2615.8","1993-05",,"1.09",,,"52.8",,,
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","1993-05",,,,"50.7","59.9","41.5",,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","1993-05",,,,"64.9","75.6","54.3",,
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","1993-05",,"0.94","0.0","60.9","70.5","51.2",,
"USR0000CJUA","JUANITA LAKE CALIFORNIA, CA US","41.7861","-122.0056","1645.9","1993-05",,,,"51.7","62.8","40.5",,
"USC00042331","DEEP SPRINGS COLLEGE, CA US","37.3738","-117.9802","1592.6","1993-05",,"0.11","0.0","60.9","75.9","45.8",,
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1831","-122.28167","661.1","1993-05",,"5.93","0.0","57.4","70.0","44.7",,
"USC00041244","BUTTONWILLOW, CA US","35.4028","-119.47","68.6","1993-05",,"0.05","0.0","69.3","85.1","53.6",,
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.66936","-120.62918","249.8","1993-05",,"0.00","0.0","63.1","81.2","44.9",,
"USC00045721","MITCHELL CAVERNS, CA US","34.9436","-115.5469","1325.9","1993-05",,"0.22","0.0","67.8","80.5","55.1",,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","1993-05",,"0.00","0.0",,,,,
"USC00042456","DOBBINS 1 S, CA US","39.3575","-121.2011","499.9","1993-05",,"2.68","0.0",,,,,
"USC00044997","LIVERMORE, CA US","37.68194","-121.75139","161.2","1993-05",,"0.51","0.0","63.5","75.8","51.2",,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","1993-05",,"0.05","0.0","62.2","73.0","51.3",,
"USC00042338","DEER CREEK FOREBAY, CA US","39.3","-120.83333","1357.9","1993-05",,"4.78","0.0","54.4","66.9","41.8",,
"USR0000CSEC","SECRET TOWN CALIFORNIA, CA US","39.1836","-120.8847","861.4","1993-05",,,,"57.7","70.1","45.3",,
"USR0000CDGR","DEVILS GARDEN CALIFORNIA, CA US","41.53","-120.6714","1530.7","1993-05",,,,"52.3","64.3","40.4",,
"USC00040383","AUBURN, CA US","38.9072","-121.0838","393.8","1993-05",,"1.67","0.0","63.3","74.3","52.3",,
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","34.1233","-116.4078","993.6","1993-05",,,,"66.8","82.5","51.1",,
"USC00043896","HEMET, CA US","33.7381","-116.8939","552.0","1993-05",,"0.12","0.0",,,,,
"USC00041476","CANBY, CA US","41.4219","-120.9016","1313.7","1993-05",,"1.48","0.0",,,,,
"USC00044500","KENTFIELD, CA US","37.9566","-122.5447","44.2","1993-05",,"2.04","0.0",,,"51.4",,
"USC00044863","LEBEC, CA US","34.83328","-118.86497","1089.7","1993-05",,"0.00","0.0",,,,,
"USR0000CBGR","BANGOR CALIFORNIA, CA US","39.3975","-121.3861","244.8","1993-05",,,,"63.4","75.1","51.6",,
"USR0000CFOU","FOUNTAIN SPRINGS CALIFORNIA, CA US","35.8922","-118.915","64.0","1993-05",,,,"66.3","83.5","49.2",,
"USC00042327","DEEP CANYON LAB, CA US","33.6513","-116.3763","365.8","1993-05",,"0.23","0.0",,,,,
"USC00044867","LECHUZA PATROL STATION, CA US","34.07639","-118.88028","487.7","1993-05",,"0.20","0.0",,,,,
"USS0019L39S","SPRATT CREEK, CA US","38.67","-119.82","1863.9","1993-05",,"1.69",,"49.8","63.1","36.4",,
"USC00040144","ALTADENA, CA US","34.18211","-118.13827","343.5","1993-05",,"0.00","0.0",,,,,
